Country,Portal National/Regional/Subregional,Name Region,Landing Page,Landing Page 2,Projects page,Data 2014-2020,Data 2007-2013,Notes,Partnership Agreements,Additional Note
Austria,National,na,http://www.oerok.gv.at/esi-fonds-at/,,,,,Relevant Data not found,http://ec.europa.eu/contracts_grants/agreements/index_en.htm,
Germany,National,na,http://www.bmwi.de/DE/Themen/Europa/strukturfonds.html,,,,,Structure Funds are collected per region: http://ec.europa.eu/regional_policy/en/atlas/germany,,
Germany,Regional,Berlin,,http://www.berlin.de/sen/wirtschaft/gruenden-und-foerdern/europaeische-strukturfonds/esf/projektbeispiele/artikel.353031.php,,,http://www.berlin.de/sen/wirtschaft/gruenden-und-foerdern/europaeische-strukturfonds/efre/projektwegweiser/index.php/index/print.html?q&q_geo&q_radius=1000&ipp=100,EFRE Data and ESF Data - just examples,,
Germany,Regional,Baden-Wurtenberg,,,,,http://www.rwb-efre.baden-wuerttemberg.de/doks/Verzeichnis%20der%20Beg%C3%BCnstigten%2031%2012%202014_V2.pdf,"2014-2020 just 'examples', 2007-2014 needs to be scraped",,
Germany,Regional,Bayern,http://www.stmwi.bayern.de/EFRE/,,,,,,,
Germany,Regional,Bremen,,,,,,,,
Germany,Regional,,,,,,,,,
Germany,Regional,,,,,,,,,
Germany,Regional,,,,,,,,,
Germany,Regional,,,,,,,,,
Germany,Regional,,,,,,,,,
Germany,Regional,,,,,,,,,
Germany,Regional,,,,,,,,,
EU,,,,,,,,,,
Belgium,Regional,Wallonia ,http://www.plushaut.be/projets?page=65,,,,,Structure Funds are managed by region: http://ec.europa.eu/regional_policy/en/atlas/belgium,,
Belgium,Regional,Brussel,http://www.plushaut.be/projets?page=65,,,,,,,
,Regional,,,,,,,,,
Bulgaria,Regional,na,,,,,,,,
Croatia,National,,http://www.strukturnifondovi.hr/projekti,,,na,http://www.strukturnifondovi.hr/karte-projekata?IsItSearch=yes&Page=1&regija1=Hrvatska&Fund=&OperationalProgramme=&ProjectCode=&naziv_projekta=&velicina_projekta=&status_provedbe=,Needs to be scraped,,
Cyprus,National,na,http://www.structuralfunds.org.cy/,http://www.structuralfunds.org.cy/List-of-Operations,http://www.structuralfunds.org.cy/structuralfunds2007-2013/default.aspx?articleID=769,,http://www.structuralfunds.org.cy/structuralfunds2007-2013/uploadfiles/BeneficiariesLIST_FebERDF_CF_%CE%99%CF%83%CF%84%CE%BF%CF%83%CE%B5%CE%BB%CE%AF%CE%B4%CE%B11.xlsx,extra data: http://www.structuralfunds.org.cy/structuralfunds2007-2013/uploadfiles/BeneficiariesLIST_FebEMPL_%CE%99%CF%83%CF%84%CE%BF%CF%83%CE%B5%CE%BB%CE%AF%CE%B4%CE%B12-1-2.xlsx,,
Czech,National,,http://www.dotaceeu.cz/cs/Informace-o-cerpani/Mapa-projektu,,,http://www.dotaceeu.cz/cs/Informace-o-cerpani/Seznamy-prijemcu,http://www.dotaceeu.cz/cs/Informace-o-cerpani/Seznamy-prijemcu,,,
Denmark,National,,https://regionalt.erhvervsstyrelsen.dk/,,,https://regionalt.erhvervsstyrelsen.dk/eu-projekt-eksport.csv,http://eustrukturfonde.dk/forside/0/17/0/[l][l]alle[l]alle[l]alle[l]alle[l][l],"2007-2013 needs to be scraped, 2014-2020 is bliss",,
Estonia,National,,http://www.struktuurifondid.ee/el-toetused-2014-2020/,,,,http://www.strukturnifondovi.hr/karte-projekata?IsItSearch=yes&Page=1&regija1=Hrvatska&Fund=&OperationalProgramme=&ProjectCode=&naziv_projekta=&velicina_projekta=&status_provedbe=,Needs to be scraped or asked,,
Finland,Regional,,,,,,,Strucutre funds managed per region: http://www.rakennerahastot.fi/,,
France,Regional,,,,,,,Unclear: http://cartobenef.asp-public.fr/cartobenef/,,
Greece,National,,https://www.espa.gr/el/Pages/default.aspx,,https://www.espa.gr/el/Pages/ProgramsList.aspx,same file as 2007-2013,https://www.espa.gr/el/Documents/ListOfOperations_20151106.csv,,,
Hungary,National,,https://www.palyazat.gov.hu/,,,,,"Really hard to find, this might be useful but wrong dates: https://www.palyazat.gov.hu/doc/243",,
Ireland,Regional,,,,,,,Structure funds managed per region: http://ec.europa.eu/regional_policy/en/atlas/beneficiaries/ireland/,,
Netherlands,National,,https://www.europaomdehoek.nl/,,https://www.europaomdehoek.nl/projecten/?page=171&,https://www.europaomdehoek.nl/assets/snippets/projects_export.php,,End date is unclear,,
Italy,National,,http://www.opencoesione.gov.it/,,,,,Happines,,
Latvia,National,,http://www.esfondi.lv/zema-oglekla-emisija,,,http://www.esfondi.lv/es-fondu-projektu-mekletajs?&page=8,http://www.esfondi.lv/aktivitates,"2014-2020 is oddly little projects, but has download button. 2007-2013 is GOOD!",,
Lithuania,National,,http://www.esinvesticijos.lt/lt/,,,http://www.esinvesticijos.lt/lt/val_regionu_proj_aprasai?page=4,,http://jonvabaliai.lt/,,
Luxembourg,National,,http://www.fonds-europeens.public.lu/fr/projets-cofinances/index.php,http://www.fonds-europeens.public.lu/fr/projets-cofinances/index.php,,,,Likely scraping needed,,
Malta,National,,https://investinginyourfuture.gov.mt/projects,,https://investinginyourfuture.gov.mt/projects,,,Writing or scraping is needed,,
Poland,National,,http://www.funduszeeuropejskie.gov.pl/,,http://www.mapadotacji.gov.pl/projekty,http://www.mapadotacji.gov.pl/export?sort=none,,Check! All projects in one file. ,,
Portugal,Regional,,http://www.pofc.qren.pt/Projectos/Projectos-Aprovados-QREN?area=2&regiao=105&Search=y,,,,,,,
Romania,National,,http://www.fonduri-ue.ro/,,,,,?,,
Slovakia,National,,http://www.nsrr.sk/sk/mapa-realizovanych-projektov-po-2007-2013/,,http://www.nsrr.sk/cerpanie/,,http://www.nsrr.sk/download.php?FNAME=1385992763.upl&ANAME=zoznam-13_11_30.xls,,,
